1	01100
1.-.-.-	00121
1.-.-.-	00231
1.-.-.-	00520
1.-.-.-	00592
1.-.-.-	00633
1.-.-.-	00860
1.-.-.-	00906
1.-.-.-	00950
1.-.-.-	00981
1.-.-.-	01057
1.-.-.-	01100
1.-.-.-	01110
1.-.-.-	01120
1.-.-.-.	01110
1.1.-.-	00363
1.1.-.-	00524
1.1.-.-	00624
1.1.-.-	00625
1.1.-.-	00626
1.1.-.-	00627
1.1.-.-	00642
1.1.-.-	00830
1.1.-.-	00903
1.1.-.-	01100
1.1.-.-	01110
1.1.-.-	01120
1.1.1.-	00051
1.1.1.-	00053
1.1.1.-	00140
1.1.1.-	00253
1.1.1.-	00260
1.1.1.-	00362
1.1.1.-	00363
1.1.1.-	00520
1.1.1.-	00523
1.1.1.-	00524
1.1.1.-	00591
1.1.1.-	00622
1.1.1.-	00625
1.1.1.-	00633
1.1.1.-	00650
1.1.1.-	00720
1.1.1.-	00830
1.1.1.-	00950
1.1.1.-	00966
1.1.1.-	00981
1.1.1.-	01040
1.1.1.-	01056
1.1.1.-	01057
1.1.1.-	01063
1.1.1.-	01100
1.1.1.-	01110
1.1.1.-	01120
1.1.1.1	00010
1.1.1.1	00071
1.1.1.1	00260
1.1.1.1	00350
1.1.1.1	00625
1.1.1.1	00626
1.1.1.1	00830
1.1.1.1	00980
1.1.1.1	00982
1.1.1.1	01100
1.1.1.1	01110
1.1.1.1	01120
1.1.1.10	00040
1.1.1.10	01100
1.1.1.100	00061
1.1.1.100	01040
1.1.1.100	01100
1.1.1.101	00564
1.1.1.101	00565
1.1.1.101	01100
1.1.1.102	00600
1.1.1.102	01100
1.1.1.103	00260
1.1.1.104	00330
1.1.1.106	00770
1.1.1.107	00750
1.1.1.11	00040
1.1.1.11	00051
1.1.1.110	00380
1.1.1.12	00040
1.1.1.12	01100
1.1.1.120	00052
1.1.1.122	00053
1.1.1.122	01100
1.1.1.122	01110
1.1.1.125	00040
1.1.1.127	00040
1.1.1.129	00053
1.1.1.13	00040
1.1.1.130	00040
1.1.1.130	00053
1.1.1.132	00051
1.1.1.132	00520
1.1.1.133	00521
1.1.1.133	00523
1.1.1.133	01100
1.1.1.133	01110
1.1.1.135	00051
1.1.1.135	00520
1.1.1.136	00520
1.1.1.137	00040
1.1.1.138	00051
1.1.1.14	00051
1.1.1.14	01100
1.1.1.140	00051
1.1.1.144	00903
1.1.1.144	01110
1.1.1.145	00140
1.1.1.145	01062
1.1.1.145	01070
1.1.1.145	01100
1.1.1.146	00140
1.1.1.146	01100
1.1.1.148	00140
1.1.1.149	00140
1.1.1.15	00040
1.1.1.15	00051
1.1.1.15	01100
1.1.1.152	00140
1.1.1.153	00790
1.1.1.153	01100
1.1.1.154	00230
1.1.1.154	01120
1.1.1.156	00561
1.1.1.156	01100
1.1.1.157	00362
1.1.1.157	00650
1.1.1.157	01100
